time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,dewpoint_temperature_2m,temperature_2m,soil_temperature_level_1,snow_cover,volumetric_soil_water_layer_1,forecast_albedo,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,evaporation_from_the_top_of_canopy_sum,surface_pressure,total_precipitation_sum,temperature_2m_min,temperature_2m_max,u_component_of_wind_10m,v_component_of_wind_10m,R_Landsat8,R_MODIS,NIR_Landsat8,NIR_MODIS
2009-11-26,2.47922,1.0,-14.2652,1.0,3.14454,0.875,3.14217,-0.00237051,4.61512,1.79454,277.97378970162225,282.03241742862997,282.28112818091796,0.0,0.27923458831478837,0.12279857702233418,-2319360.783434343,2915760.312727272,3390552.394343434,26283356.097373728,-0.0002715538176849032,100364.35827848801,0.0021487402282711187,281.08934116556185,283.2149933477844,4.195655454128278,5.552583595478173,,0.052454677754677756,,0.1659096153846154
2009-11-27,-2.06602,1.0,-36.2679,1.0,2.80062,1.0,2.9629,0.162283,4.50171,1.68838,277.63397913614904,280.7817719641277,281.23235453596004,0.0,0.28699713838622215,0.1226841774367749,-2888366.224242423,3136305.9240404028,3289449.3123232303,25896885.78222221,-0.0007996748086780005,99999.71543415928,0.00225127788494937,279.88953731035934,281.78675133290903,4.103632628058746,4.39841533981991,,0.052420634095634105,,0.16581096673596674
2009-11-28,1.12863,1.0,-46.8707,0.958333,2.58132,1.0,2.94268,0.361358,4.54185,0.94418,278.1833455496123,280.9244344126896,280.85766973810155,0.0,0.2995917079424617,0.12257232278089979,-3301719.2953535346,4220918.954343433,1918355.5038383831,26760672.627878778,-0.0011717146302037164,99738.49911806868,0.011727606858869989,279.5473419775143,282.4256109434186,3.006767729942244,5.203734518108944,,0.05195087890625001,,0.16755664062500003
2009-11-29,2.16385,1.0,6.63385,1.0,2.22465,1.0,3.1037,0.879042,4.75002,0.971321,278.48507675710346,282.0349957321628,281.487084583064,0.0,0.30662610397595735,0.12245594430507882,-3943154.608080806,5031886.1866666665,1412978.7789898983,27599711.202424232,-0.0013438426842442663,99190.39694161667,0.002480040535748216,280.369255383424,282.9584808226306,1.2589948509036488,5.87303620348073,,0.05887107382550334,,0.18178711409395965
2009-11-30,-0.630365,1.0,-16.5799,1.0,1.78281,0.958333,2.7946,1.01179,4.45538,1.2806,276.5778950223054,278.90302047010215,279.6305810477516,0.0,0.2844748593982221,0.12233987550047358,-669637.7078787877,1636815.9490909085,2207420.867070707,24725470.81454545,-5.9510791918846066e-06,99593.31769531246,5.6616838429946606e-05,277.1372891512783,280.63700629340264,0.6422845330543389,2.5699048614501945,,0.07143529411764706,,0.1340970588235294
2009-12-01,4.26917,1.0,-0.681667,1.0,1.85602,0.625,2.68179,0.825772,4.36591,1.47245,276.0904357303914,277.43836541609323,278.3541847473041,0.0,0.27472153557671425,0.1222246790933187,-529082.7579797978,411931.4173737373,2981384.436363636,24613824.5911111,-1.9011812077628233e-06,100782.31863425924,0.00012944036956188859,275.5544564665206,280.5924590632891,-1.4399221087786485,-0.22472930180906037,,0.07288484848484848,,0.13279696969696972
2009-12-02,-1.66516,1.0,-3.88865,1.0,2.53354,1.0,2.61199,0.0784501,4.31754,0.538995,276.4196631213871,278.06696638858665,278.13264646074174,0.0,0.28094070742828664,0.12210876105165089,-1704682.0808080805,2401387.1652525244,918294.7660606058,26720754.867878772,-0.0006150988489389418,100472.05197864055,0.005234925445781845,275.8590058297821,280.67522546633325,-0.8474665552518181,4.15349893500909,,0.07223823529411764,,0.13409411764705884
2009-12-03,-0.0286458,1.0,-21.9679,1.0,3.08543,1.0,2.91324,-0.172183,4.61978,0.933724,279.21963914813404,280.9366594079527,280.3344738548612,0.0,0.3009474766535389,0.12199350425095519,-2413735.1131313127,3222218.332121211,1838974.0565656559,27561418.37898989,-0.0008852971808025326,99745.23996784247,0.004218238146618158,277.31938237970513,283.03301850290006,2.463306482921946,4.077258852740328,,0.07199117647058823,,0.13355882352941176
2009-12-04,-0.0251736,1.0,-54.1428,1.0,3.32473,0.958333,2.64372,-0.681015,4.27239,0.854694,276.1035128504177,277.5041315521856,278.4380997749611,0.06718483664772726,0.2979254567823827,0.12225993077418065,-2122737.3054545447,2141748.3701010095,1727120.582626262,25835651.723636355,-0.0008300783464478118,100534.73357073336,0.004004445709703455,275.73910186767574,278.8508934252189,2.799904303245672,3.4299079085520208,,0.07196842105263158,,0.13680000000000003
2009-12-05,-0.0777951,1.0,-16.059,1.0,2.68245,1.0,2.9382,0.255747,4.54272,0.945873,279.1917778415872,280.71567241424657,279.788591971606,0.019806167140151508,0.3117140848949701,0.1218652771970865,-2396597.1204040395,3223307.1151515143,1542475.8844444442,28235249.228686865,-0.0009368862138327321,100384.50183317545,0.010192703803978184,277.27240485297295,283.3735178937814,1.6574112423983485,4.7219249469904785,,0.07170263157894737,,0.13635263157894736
